text
праховете is related to прах.
заработвал is related to заработвам.
лопата is related to dustpan.
разчетейки is related to разчета.
кръвясащи is related to кръвясам.
надвесваните is related to надвесвам.
заимствувате is related to заимствувам.
кощунстващ is related to кощунствам.
замолващият is related to замолвам.
хватки is related to хватка.
билки is related to билка.
идентифицирате is related to идентифицирам.
излъчваха is related to излъчвам.
господарства is a form of господарство.
комуникирахме is related to комуникирам.
доливали is related to доливам.
аташирана is related to аташирам.
литографиращи is related to литографирам.
патът is related to пат.
възголемяваш is related to възголемявам.
захубавявало is related to захубавявам.
господарстваш is related to господарствам.
модификация is related to modification.
gold translations is a synonym of злато.
изключвай is related to изключвам.
климатологията is related to климатология.
изчервяващата is related to изчервявам.
вкочанясвана is related to вкочанясвам.
затюхквани is related to затюхквам.
заразказваното is related to заразказвам.
брегове is a form of бряг.
затъмнява is related to затъмнявам.
болници is a form of болница.
изгълтаха is related to изгълтам.
карамелизираме is related to карамелизирам.
ароматизиращ is related to ароматизирам.
зобалия is related to зобам.
момуваната is related to момувам.
бленувалият is related to бленувам.
кряскащото is related to кряскам.
зейвало is related to зейвам.
застарявалата is related to застарявам.
изфукваш is related to изфуквам.
дегазират is related to дегазирам.
се is related to reflexive pronoun.
жужукало is related to жужукам.
гаменът is related to гамен.
дишате is related to дишам.
изнемогвате is related to изнемогвам.
дезинфектираните is related to дезинфектирам.
зашифроващите is related to зашифровам.
излющващото is related to излющвам.
досушавалата is related to досушавам.
импортираните is related to импортирам.
затъкмяваща is related to затъкмявам.
изстисквахте is related to изстисквам.
дискутирай is related to дискутирам.
заръмжавайки is related to заръмжавам.
гарнираме is related to гарнирам.
запромъкваме is related to запромъквам.
закореняваха is related to закоренявам.
повело is related to поведа.
изгризващ is related to изгризвам.
експатрираната is related to експатрирам.
доиграващ is related to доигравам.
втъкавалото is related to втъкавам.
арнаутин is related to obstinate.
издебващият is related to издебвам.
болничък is related to distempered.
копанката is related to копанка.
задяващото is related to задявам.
изпускайки is related to изпускам.
зачегъртвам is related to gratter.
извишава is related to извишавам.
заслушалото is related to заслушам.
замътващият is related to замътвам.
заплисканите is related to заплискам.
компресията is related to компресия.
заклимаш is related to заклимам.
навирвалото is related to навирвам.
затягай is related to затягам.
короновайте is related to короновам.
искра is related to étincelle.
благоденствуваното is related to благоденствувам.
замра is related to flag.
бедуинка is related to female.
🚟 is a symbol of превозно средство.
закрещяваната is related to закрещявам.
гарнирахме is related to гарнирам.
максимизираме is related to максимизирам.
агитаторката is related to агитаторка.
четящата is related to чета.
дингили is related to дингил.
всмръквала is related to всмръквам.
набъхтвахте is related to набъхтвам.
лекомислие is related to frivolity.
затормозваните is related to затормозвам.
заплащания is related to заплащам.
распер is a synonym of asp.
класифициращият is related to класифицирам.
нагарчания is related to нагарчам.
отмените is a form of отмяна.
изгниващо is related to изгнивам.
антициклони is related to антициклон.
зоологията is related to зоология.
засядали is related to засядам.
подвеждам is related to reduce.
изплашвалия is related to изплашвам.
зацелуван is related to зацелувам.
вуз is related to supérieur.
🌊 is a symbol of време.
вентилираха is related to вентилирам.
екстрахиращата is related to екстрахирам.
мъждукания is related to мъждукам.
текстообработките is related to текстообработка.
беден is related to mean.
импортът is related to импорт.
друсвало is related to друсвам.
загледахте is related to загледам.
радиотелеграфистките is related to радиотелеграфистка.
изкискащите is related to изкискам.
надзървайки is related to надзървам.
уплаха is related to peur.
деформирате is related to деформирам.
категоризираш is related to категоризирам.
изкукуригваната is related to изкукуригвам.
завтичам has context of en emploi pronominal.
американизиралото is related to американизирам.
кофарът is related to кофар.
задействана is related to задействам.
заоправдаваният is related to заоправдавам.
братоубиец is related to killer.
бъркаме is related to бъркам.
изпокъртвайте is related to изпокъртвам.
короноваща is related to короновам.
засичам is related to hew.
hübsch is a synonym of хубав.
изчеткахте is related to изчеткам.
имиграции is related to имиграция.
закусващ is related to закусвам.
кудкудяках is related to кудкудякам.
замаскирвала is related to замаскирвам.
изплаващото is related to изплавам.
германизирани is related to германизирам.
изкарвайте is related to изкарвам.
наведящ is related to наведа.
автомотриса is related to electric.
артикулациите is related to артикулация.
ягоридата is related to ягорида.
изстригващ is related to изстригвам.
изчупваният is related to изчупвам.
aoriste is a synonym of аорист.
нагарча is related to нагарчам.
читалнята is related to читалня.
латвийки is related to латвийка.
телепатиите is related to телепатия.
акуширало is related to акуширам.
безумствуват is related to безумствувам.
асоциират is related to асоциирам.
имплантираните is related to имплантирам.
експонира is related to експонирам.
декорираните is related to декорирам.
анонсиращия is related to анонсирам.
разведе is related to разведа.
гукай is related to гукам.
hybridize is a synonym of кръстосвам.
избучавани is related to избучавам.
кремирани is related to кремирам.
луковици is related to луковица.
нагълчаваш is related to нагълчавам.
зелен павиан is a synonym of olive baboon.
ангели is a form of ангел.
мухлясайки is related to мухлясам.
компас is a synonym of compass.
господари is a form of господар.
врънкалото is related to врънкам.
заразмахващо is related to заразмахвам.
визитирания is related to визитирам.
заразмахвахме is related to заразмахвам.
бездейства is related to бездействам.
локали is related to локала.
клюмваха is related to клюмвам.
набъбвали is related to набъбвам.
играя is related to prance.
нагрухваш is related to нагрухвам.
връзвачи is related to връзвача.
изкалъпваното is related to изкалъпвам.
сливицата is related to сливица.
възвисяваните is related to възвисявам.
инвестиран is related to инвестирам.
заселявайки is related to заселявам.
възниквам is related to surgir.
съкооператорката is related to съкооператорка.
въглероди is related to въглерода.
инсинуирани is related to инсинуирам.
кламерите is related to кламер.
фасът is related to фас.
засмоляваното is related to засмолявам.
деоксидиращ is related to деоксидирам.
хипохондриите is related to хипохондрия.
измитало is related to измитам.
изчегъртваната is related to изчегъртвам.
благоустройваният is related to благоустройвам.
вмъквани is related to вмъквам.
гордев is related to bulgare.
зачудваща is related to зачудвам.
лъсват is related to лъсвам.
бутащи is related to бутам.
баща is related to patriarch.
ад is a synonym of пъкъл.
бетонирахме is related to бетонирам.
измотават is related to измотавам.
излъскан is related to излъскам.
извличам is related to find.
изжилвалите is related to изжилвам.
запредения is related to запреда.
денационализиращо is related to денационализирам.
затряскваният is related to затрясквам.
клюмваното is related to клюмвам.
козите is a form of коза.
акъла is related to акъл.
тропоска is related to bâti.
бактисващ is related to бактисвам.
конвоирах is related to конвоирам.
загръщащите is related to загръщам.
импортиралата is related to импортирам.
chilly is a synonym of студен.
заситняваното is related to заситнявам.
предисторията is related to предистория.
аперитив is a synonym of бар.
клепвате is related to клепвам.
действувалият is related to действувам.
клепай is related to клепам.
локащия is related to локам.
взиждано is related to взиждам.
дегенерираме is related to дегенерирам.
засмолявате is related to засмолявам.
заличавали is related to заличавам.
изприщващия is related to изприщвам.
загадки is related to загадка.
опридам is related to прежда.
кандидатирате is related to кандидатирам.
изпълвания is related to изпълвам.
математички is related to математичка.
зацапваме is related to зацапвам.
действителен is related to veritable.
лопатите is related to лопата.
комуниста is related to комунист.
баскетбол is a synonym of koszykówka.
зацъкващи is related to зацъквам.
нагърбушва is related to нагърбушвам.
вляза is related to get in.
муха is related to fly.
завещаваща is related to завещавам.
замязващото is related to замязвам.
запитали is related to запитам.
армиращо is related to армирам.
бомбандират is related to бомбандирам.
излъсквай is related to излъсквам.
заемът is related to заем.
възставащо is related to възставам.
надвисващ is related to надвисвам.
измърсявания is related to измърсявам.
занимавала is related to занимавам.
левосектантката is related to левосектантка.
лисвалия is related to лисвам.
гвоздей is related to stud.
заселявало is related to заселявам.
царю is a form of цар.
изпълняват is related to изпълнявам.
гегите is related to гега.
интриганствахте is related to интриганствам.
декретиралите is related to декретирам.
изскрибуцващата is related to изскрибуцвам.
автоматизиралото is related to автоматизирам.
възвисяващия is related to възвисявам.
капсуловах is related to капсуловам.
доя is related to suckle.
интроспекция is related to introspection.
варакосваният is related to варакосвам.
амперметрите is a form of амперметър.
лекарка is a synonym of докторка.
красавица is related to beauty.
компютри is related to компютър.
братуващ is related to братувам.
със is related to avec.
архитектури is related to архитектура.
колонизиралото is related to колонизирам.
възползувахме is related to възползувам.
дякон has context of religion.
лесовете is a form of лес.
захубавяваното is related to захубавявам.
вехториите is related to вехтория.
запитан is related to запитам.
бъркам is related to désordre.
изумявалото is related to изумявам.
кухините is related to кухина.
гороцвет is a synonym of adonis.
зацъква is related to зацъквам.
дезинтегрираните is related to дезинтегрирам.
кошмара is related to кошмар.
интересно is related to intéressant.
надприказвайки is related to надприказвам.
измразявам is related to froid.
компенсациите is related to компенсация.
джавканото is related to джавкам.
разбирам is related to good.
загащвай is related to загащвам.
изслушайки is related to изслушам.
възнаграждавалият is related to възнаграждавам.
бастиони is related to бастиона.
изковавайки is related to изковавам.
нагълтвал is related to нагълтвам.
гангренясалата is related to гангренясам.
завършвах is related to завършвам.
възстановявали is related to възстановявам.
запланирайте is related to запланирам.
зачерквано is related to зачерквам.
ентропии is related to ентропия.
извисявалите is related to извисявам.
контраалтовете is related to контраалт.
контактувано is related to контактувам.
изкършвайте is related to изкършвам.
друскала is related to друскам.
изветряваща is related to изветрявам.
изпращащи is related to изпращам.
изпъчваме is related to изпъчвам.
галантерията is related to галантерия.
внимателен is related to obliging.
концентратора is related to концентратори.
ловувах is related to ловувам.
заседаващото is related to заседавам.
втасащата is related to втасам.
актуализирано is related to актуализирам.
ескалираните is related to ескалирам.
преподавателка is related to teacher.
доизпитаният is related to доизпитам.
навземаш is related to навземам.
гостувал is related to гостувам.
аварии is related to авария.
запечатваща is related to запечатвам.
занареждахме is related to занареждам.
апострофирах is related to апострофирам.
увертюрите is related to увертюра.
заметохте is related to замета.
ипотекиращ is related to ипотекирам.
затисканите is related to затискам.
изприпкаме is related to изприпкам.
бутилираме is related to бутилирам.
sitzen is a synonym of седя.
доизслушаш is related to доизслушам.
компресиралия is related to компресирам.
награждаваните is related to награждавам.
зашлевяван is related to зашлевявам.
запредения is related to запреда.
забиващите is related to забивам.
изпожилвано is related to изпожилвам.
кодифицираща is related to кодифицирам.
запетаята is related to запетая.
критикарствувалия is related to критикарствувам.
гигаватът is related to гигават.
капри is a synonym of capri.
многоглаголстващо is related to многоглаголствам.
гранясвалата is related to гранясвам.
слънчевата система is a form of слънчева система.
емваната is related to емвам.
изследвалата is related to изследвам.
надраскали is related to надраскам.
кастрираме is related to кастрирам.
математички is related to математичка.
механизиралия is related to механизирам.
набърчвахме is related to набърчвам.
фирма is related to enseigne.
изпискащите is related to изпискам.
човек is related to être humain.
компенсациите is related to компенсация.
депешата is related to депеша.
затрептявал is related to затрептявам.
сетове is related to сет.
filch is a synonym of крада.
захилващи is related to захилвам.
дишали is related to дишам.
надделявани is related to надделявам.
ухо has context of anatomie.
надишващата is related to надишвам.
адаптиращата is related to адаптирам.
запрягала is related to запрягам.
контузвате is related to контузвам.
заглозгвайте is related to заглозгвам.
запотяваните is related to запотявам.
излъскаща is related to излъскам.
гилотиниращото is related to гилотинирам.
закопчаваното is related to закопчавам.
chest is a synonym of кутия.
азербайджанка is derived from азербайджан.
изпотрошавам is related to casser.
генерализиращи is related to генерализирам.
аористът is related to аорист.
зарозовявай is related to зарозовявам.
албански is related to албания.
ядро is a synonym of kernel.
масачузетс is a synonym of massachusetts.
надвиканата is related to надвикам.
долар is related to dollar.
встрастяваме is related to встрастявам.
ричард тревитик is a synonym of richard trevithick.
изкривяващата is related to изкривявам.
задълбочавате is related to задълбочавам.
гъделичкано is related to гъделичкам.
теле is a synonym of глупак.
козирувах is related to козирувам.
възбунтувам has context of en emploi pronominal.
избутващия is related to избутвам.
тупалката is related to тупалка.
задухайки is related to задухам.
🌖 is a symbol of луна.
зачертавали is related to зачертавам.
изстригваща is related to изстригвам.
близвалия is related to близвам.
шизофренен is derived from шизофрения.
задушаваща is related to задушавам.
извиняваната is related to извинявам.
ям is related to eat.
измотаваща is related to измотавам.
царкиня is related to princess.
столицата is related to столица.
диамантът is related to диамант.
наддаващ is related to наддавам.
рундове is related to рунд.
наддумваш is related to наддумвам.
мънкалите is related to мънкам.
ям is a synonym of храня се.
закореняваното is related to закоренявам.
микробуса is related to микробус.
захранвалите is related to захранвам.
преплетохте is related to преплета.
забирани is related to забирам.
изплаваният is related to изплавам.
въздържалата is related to въздържам.
залепвано is related to залепвам.
изкомандувай is related to изкомандувам.
държавите is related to държава.
преквалификациите is related to преквалификация.
изобретяваният is related to изобретявам.
поддръжници is related to поддръжница.
вклещвалият is related to вклещвам.
демаскирал is related to демаскирам.
закикотваните is related to закикотвам.
жулвалите is related to жулвам.
хаосът is a form of хаос.
пуританщина is related to puritanisme.
засмивалото is related to засмивам.
завтичалата is related to завтичам.
залагалите is related to залагам.
надзърваш is related to надзървам.
кметуващо is related to кметувам.
визитациите is related to визитация.
онова is a form of онзи.
розмарините is a form of розмарин.
замолващи is related to замолвам.
надзираваното is related to надзиравам.
седна is related to sit down.
запръскалата is related to запръскам.
измъкваща is related to измъквам.
учител is related to учителка.
зачерпвайки is related to зачерпвам.
верифицираха is related to верифицирам.
изпилявай is related to изпилявам.
изронваният is related to изронвам.
занизваните is related to занизвам.
труда is related to трудове.
лупвах is related to лупвам.
изцвилващия is related to изцвилвам.
лазарета is related to лазарети.
параболите is related to парабола.
диапозитиви is related to диапозитива.
затупквало is related to затупквам.
дрискаме is related to дрискам.
изяснявано is related to изяснявам.
брадясвали is related to брадясвам.
балюстрадите is related to балюстрада.
бръкваме is related to бръквам.
изнежвалата is related to изнежвам.
доведената is related to доведа.
меланозите is related to меланоза.
хапя is related to прехапвам.
прилепът is related to прилеп.
завиждащата is related to завиждам.
задигалия is related to задигам.
десетарка is related to leva.
пародии is a form of пародия.
мязайте is related to мязам.
брануваха is related to бранувам.
засмивано is related to засмивам.
дуелирано is related to дуелирам.
заричащия is related to заричам.
изпотрошавалите is related to изпотрошавам.
лекар is related to male.
калкулирало is related to калкулирам.
dollar is a synonym of долар.
закънтяващите is related to закънтявам.
аскeрски is derived from аскер.
домъква is related to домъквам.
предпочети is related to предпочета.
вслушвала is related to вслушвам.
доизпитащите is related to доизпитам.
изчепквана is related to изчепквам.
затлъстяват is related to затлъстявам.
доразкривани is related to доразкривам.
индуцирани is related to индуцирам.
конституиращо is related to конституирам.
маите is related to мая.
захаросащите is related to захаросам.
втръсвате is related to втръсвам.
изпокъсали is related to изпокъсам.
бинтовате is related to бинтовам.
вкостеняващата is related to вкостенявам.
дослужващите is related to дослужвам.
вдишваната is related to вдишвам.
застрашаван is related to застрашавам.
запитат is related to запитам.
mine is a synonym of мой.
стратегическо управление is a synonym of strategic management.
златен is a synonym of златоносен.
доизработващи is related to доизработвам.
домъкващия is related to домъквам.
задълбавалата is related to задълбавам.
възпроизвеждащ is related to възпроизвеждам.
калфа is related to journeyman.
въпрос is related to question.
телевизиите is related to телевизия.
дисквалифициращи is related to дисквалифицирам.
изгърбвани is related to изгърбвам.
изкапвайте is related to изкапвам.
абревиатурата is related to абревиатура.
калесващ is related to калесвам.
закисвания is related to закисвам.
зараствани is related to зараствам.
беседа is related to entretien.
обясня is related to explicate.
благоустрояваните is related to благоустроявам.
copieuse is a synonym of преписвачка.
допускала is related to допускам.
тоягите is related to тояга.
кусало is related to кусам.
клокващата is related to клоквам.
спиритуалистки is related to спиритуалистка.
шофьорка is related to driver.
врънкахте is related to врънкам.
маслосвет is related to consécration.
изтласках is related to изтласкам.
заръфваните is related to заръфвам.
кооптираната is related to кооптирам.
закисващата is related to закисвам.
локомотивите is related to локомотив.
изжулваха is related to изжулвам.
веявиците is related to веявица.
arrow is a synonym of стрела.
апретирано is related to апретирам.
бастиона is related to бастион.
задраскайте is related to задраскам.
допитваща is related to допитвам.
навъждаща is related to навъждам.
изшивана is related to изшивам.
изкусурявали is related to изкусурявам.
довеждани is related to довеждам.
запръскат is related to запръскам.
лафа is related to лафове.
млясвай is related to млясвам.
красавец is a synonym of хубавец.
честота is related to fréquence.
бръшлян is a synonym of hedera.
любопитствалите is related to любопитствам.
запаметяващи is related to запаметявам.
забъркваш is related to забърквам.
контрахираният is related to контрахирам.
изричалия is related to изричам.
бойлери is a form of бойлер.
комкащите is related to комкам.
бухваха is related to бухвам.
кинорежисьорките is related to кинорежисьорка.
зографисвала is related to зографисвам.
бездействам is related to rester les bras croisés.
зарязваната is related to зарязвам.
доизяснявалият is related to доизяснявам.
броширалите is related to броширам.
благоприятствували is related to благоприятствувам.
маниера is related to маниер.
интригантстващ is related to интригантствам.
дезакордиралият is related to дезакордирам.
блаженстващо is related to блаженствам.
късалата is related to късам.
вдървявах is related to вдървявам.
крабовете is related to краб.
агитиращо is related to агитирам.
протеза is related to prothèse.
засмолява is related to засмолявам.
вратарката is related to вратарка.
администратор is related to администраторка.
кукуригалата is related to кукуригам.
заразглеждано is related to заразглеждам.
господарка is related to sovereign.
проверителки is related to проверителка.
собственички is related to собственичка.
влудявалия is related to влудявам.
месачки is related to месачка.
юзини is related to юзина.
бламирахме is related to бламирам.
мизерствайки is related to мизерствам.
свят is related to earth.
братувай is related to братувам.
year is a synonym of година.
кожух is related to encasing.
забълван is related to забълвам.
конкурираната is related to конкурирам.
благоустройващата is related to благоустройвам.
затрепервам is related to trembler.
🗺 is a symbol of свят.
бременен is related to expecting.
изпокъсващите is related to изпокъсвам.
тичешком is related to courir.
залоствам is related to s’ échouer.
bora is a synonym of буря.
арменка is related to армения.
магарицата is related to магарица.
магма is a synonym of magma.
наблъскващи is related to наблъсквам.
благоденствувала is related to благоденствувам.
извоювайте is related to извоювам.
късаната is related to късам.
извършвалите is related to извършвам.
осъществим is related to feasible.
изкосявалата is related to изкосявам.
инсцениращото is related to инсценирам.
замираните is related to замирам.
пролука is related to fente.
маркирана is related to маркирам.
заканвам has context of en emploi pronominal.
дезориентирам is related to désorienter.
анализирани is related to анализирам.
загноясвани is related to загноясвам.
обрека is related to promise.
трая is related to take.
доработващо is related to доработвам.
кардирана is related to кардирам.
справка is related to référence.
звънец is related to bell.
взривявано is related to взривявам.
минимизиращо is related to минимизирам.
кроасана is related to кроасани.
инициализирам is related to initialiser.
братувалото is related to братувам.
интегрирал is related to интегрирам.
изпровождало is related to изпровождам.
либерализиращите is related to либерализирам.
захаросващата is related to захаросвам.
зяпате is related to зяпам.
свещеник is related to chaplain.
вкопавала is related to вкопавам.
beissen is a synonym of хапя.
заблейвалото is related to заблейвам.
шкафа is related to шкаф.
афектира is related to афектирам.
измятащата is related to измятам.
изпушваният is related to изпушвам.
бобонката is related to бобонка.
гарниращият is related to гарнирам.
майсторките is related to майсторка.
бъзваме is related to бъзвам.
лабиринтите is related to лабиринт.
стрък is related to brin.
таса is related to тасове.
вирван is related to вирвам.
вкочанясалата is related to вкочанясам.
giraffe is a synonym of жираф.
надраскащият is related to надраскам.
закопавана is related to закопавам.
блудствувам is related to débauche.
вгнездвах is related to вгнездвам.
cur is a synonym of пес.
закалугерявате is related to закалугерявам.
импровизациите is related to импровизация.
белосваш is related to белосвам.
състезание is related to състезателен.
неблагоразумие is the opposite of благоразумие.
издумваното is related to издумвам.
дотрябващи is related to дотрябвам.
бумтежи is related to бумтеж.
